2: [('е', 0.9946), ('ә', 0.9944), ('й', 0.9912), ('с', 0.9892), ('р', 0.9892), ('ғ', 0.9885), ('л', 0.9861), ('қ', 0.9854), ('п', 0.9854), ('ң', 0.9845), ('х', 0.9835), ('ц', 0.983), ('б', 0.9826), ('ұ', 0.9818), ('з', 0.9817), ('һ', 0.9811), ('ё', 0.9806), ('ф', 0.9803), ('д', 0.98), ('а', 0.9799), ('э', 0.9798), ('н', 0.9796), ('т', 0.979), ('о', 0.9773), ('и', 0.9771), ('к', 0.977), ('г', 0.9765), ('ь', 0.9765), ('ч', 0.9762), ('ж', 0.9746), ('ү', 0.9739), ('у', 0.9695), ('ө', 0.969), ('ш', 0.9684), ('ы', 0.968), ('ъ', 0.9679), ('щ', 0.9674), ('м', 0.9674), ('ю', 0.9634), ('в', 0.9589), ('і', 0.958), ('я', 0.9541)]
1: [('м', 0.9982), ('ж', 0.9934), ('ы', 0.9904), ('о', 0.9886), ('ш', 0.9878), ('н', 0.986), ('ю', 0.9857), ('щ', 0.9846), ('ө', 0.9844), ('и', 0.9829), ('п', 0.981), ('ң', 0.9799), ('ц', 0.977), ('қ', 0.9756), ('ч', 0.9746), ('ф', 0.9714), ('й', 0.9691), ('е', 0.9689), ('ә', 0.9688), ('э', 0.9687), ('б', 0.9675), ('һ', 0.9674), ('ъ', 0.9669), ('д', 0.9667), ('р', 0.9665), ('л', 0.9661), ('с', 0.966), ('х', 0.966), ('ь', 0.9647), ('з', 0.964), ('ұ', 0.964), ('ё', 0.9632), ('а', 0.9618), ('ғ', 0.9612), ('к', 0.9603), ('ү', 0.9581), ('у', 0.9559), ('г', 0.9542), ('т', 0.9517), ('в', 0.9495), ('і', 0.9492), ('я', 0.9421)]
3: [('и', 0.997), ('н', 0.9959), ('ө', 0.9896), ('ж', 0.9892), ('о', 0.9865), ('п', 0.9845), ('ң', 0.9839), ('м', 0.9838), ('е', 0.9793), ('ә', 0.9792), ('қ', 0.9792), ('ы', 0.9787), ('ц', 0.9783), ('ч', 0.9775), ('ш', 0.9771), ('а', 0.975), ('й', 0.9749), ('щ', 0.9743), ('х', 0.9741), ('к', 0.9736), ('ю', 0.9733), ('ь', 0.9732), ('ъ', 0.9721), ('ф', 0.971), ('р', 0.9708), ('с', 0.9706), ('л', 0.9693), ('һ', 0.9691), ('б', 0.9689), ('э', 0.9688), ('ғ', 0.9671), ('д', 0.967), ('з', 0.9669), ('ұ', 0.9665), ('ё', 0.9649), ('в', 0.9622), ('ү', 0.9589), ('т', 0.9589), ('г', 0.9573), ('у', 0.9553), ('я', 0.955), ('і', 0.9462)]
4: [('с', 0.9982), ('р', 0.9978), ('л', 0.9957), ('б', 0.9933), ('ғ', 0.9928), ('ё', 0.9924), ('й', 0.9913), ('ұ', 0.9912), ('д', 0.9912), ('з', 0.9898), ('э', 0.9895), ('һ', 0.9892), ('ф', 0.989), ('г', 0.9864), ('қ', 0.9859), ('ц', 0.9859), ('ү', 0.9849), ('п', 0.9838), ('ң', 0.9827), ('е', 0.9825), ('ә', 0.9823), ('у', 0.9813), ('т', 0.9802), ('х', 0.9791), ('о', 0.9757), ('ч', 0.9752), ('н', 0.9736), ('ж', 0.9719), ('ь', 0.971), ('щ', 0.9707), ('ш', 0.9705), ('і', 0.9695), ('и', 0.9693), ('ы', 0.9691), ('а', 0.9686), ('к', 0.9659), ('м', 0.9657), ('ю', 0.9657), ('ъ', 0.9643), ('ө', 0.9623), ('в', 0.9482), ('я', 0.9431)]
5: [('е', 0.9945), ('ә', 0.9943), ('й', 0.9911), ('р', 0.9893), ('с', 0.9893), ('ғ', 0.9883), ('л', 0.9864), ('п', 0.9858), ('қ', 0.9856), ('ң', 0.9848), ('ц', 0.9833), ('х', 0.9831), ('б', 0.9827), ('ұ', 0.9817), ('з', 0.9816), ('һ', 0.9811), ('ё', 0.9807), ('ф', 0.9806), ('д', 0.9803), ('н', 0.98), ('э', 0.9799), ('а', 0.9796), ('т', 0.9784), ('о', 0.9779), ('и', 0.9774), ('к', 0.9767), ('г', 0.9764), ('ч', 0.9762), ('ь', 0.9761), ('ж', 0.9751), ('ү', 0.9738), ('у', 0.9696), ('ө', 0.9694), ('ш', 0.9689), ('ы', 0.9686), ('щ', 0.9679), ('м', 0.9679), ('ъ', 0.9677), ('ю', 0.964), ('в', 0.9586), ('і', 0.9582), ('я', 0.9538)]
6: [('н', 0.9978), ('и', 0.9945), ('ж', 0.9889), ('п', 0.9881), ('ң', 0.9876), ('о', 0.9874), ('ө', 0.9857), ('қ', 0.9831), ('е', 0.9829), ('ә', 0.9828), ('м', 0.9823), ('ц', 0.9818), ('ч', 0.9802), ('й', 0.9791), ('ы', 0.9787), ('х', 0.9777), ('ш', 0.9775), ('а', 0.9771), ('ь', 0.976), ('к', 0.9753), ('щ', 0.9751), ('р', 0.9747), ('с', 0.9745), ('ф', 0.9744), ('ъ', 0.9736), ('ю', 0.9731), ('л', 0.973), ('һ', 0.9728), ('б', 0.9727), ('э', 0.9723), ('ғ', 0.971), ('з', 0.9708), ('д', 0.9705), ('ұ', 0.9704), ('ё', 0.9687), ('т', 0.9628), ('ү', 0.9626), ('в', 0.9622), ('г', 0.9611), ('у', 0.9588), ('я', 0.9551), ('і', 0.9493)]
7: [('і', 0.9991), ('у', 0.9881), ('ү', 0.9822), ('ё', 0.9772), ('д', 0.9768), ('г', 0.9762), ('э', 0.9761), ('б', 0.9748), ('ф', 0.9744), ('ұ', 0.9743), ('һ', 0.9735), ('з', 0.973), ('л', 0.9706), ('с', 0.9687), ('р', 0.9686), ('ғ', 0.9666), ('ц', 0.9665), ('й', 0.9646), ('қ', 0.964), ('щ', 0.9622), ('т', 0.9616), ('п', 0.9611), ('ң', 0.9606), ('ш', 0.9594), ('ч', 0.9581), ('ю', 0.957), ('ы', 0.9569), ('о', 0.9564), ('х', 0.9562), ('е', 0.9539), ('ә', 0.9538), ('ж', 0.9531), ('н', 0.9506), ('м', 0.9504), ('ь', 0.9497), ('ъ', 0.9471), ('и', 0.9454), ('а', 0.9415), ('ө', 0.9405), ('к', 0.939), ('в', 0.9227), ('я', 0.9171)]
8: [('м', 0.9952), ('ы', 0.9944), ('ж', 0.9936), ('ш', 0.9923), ('о', 0.9905), ('щ', 0.9895), ('ю', 0.9888), ('н', 0.9852), ('п', 0.9836), ('ң', 0.9824), ('и', 0.9808), ('ц', 0.9807), ('ө', 0.9804), ('қ', 0.9786), ('ч', 0.9767), ('ф', 0.9758), ('э', 0.973), ('й', 0.9719), ('б', 0.9715), ('һ', 0.9714), ('д', 0.9709), ('е', 0.9699), ('ә', 0.9698), ('р', 0.9696), ('л', 0.9695), ('с', 0.9692), ('ұ', 0.9678), ('з', 0.9677), ('х', 0.9677), ('ъ', 0.9674), ('ё', 0.9672), ('ь', 0.9655), ('ғ', 0.9641), ('ү', 0.9624), ('а', 0.9613), ('у', 0.9604), ('к', 0.9595), ('г', 0.958), ('т', 0.9544), ('і', 0.9539), ('в', 0.9475), ('я', 0.9401)]
9: [('й', 0.9924), ('р', 0.9921), ('с', 0.9918), ('е', 0.9915), ('ә', 0.9914), ('ғ', 0.9895), ('л', 0.9893), ('п', 0.9872), ('қ', 0.9871), ('ң', 0.9859), ('б', 0.9856), ('ц', 0.9854), ('ұ', 0.984), ('з', 0.9836), ('ф', 0.9835), ('һ', 0.9834), ('ё', 0.9834), ('д', 0.9834), ('э', 0.9828), ('х', 0.9822), ('н', 0.9798), ('о', 0.9792), ('г', 0.9783), ('т', 0.9782), ('ч', 0.9767), ('и', 0.9766), ('а', 0.9766), ('ү', 0.9763), ('ж', 0.9759), ('ь', 0.9749), ('к', 0.9737), ('у', 0.9723), ('ш', 0.9709), ('ы', 0.9703), ('щ', 0.97), ('ө', 0.969), ('м', 0.9689), ('ъ', 0.9672), ('ю', 0.9659), ('і', 0.9609), ('в', 0.9559), ('я', 0.951)]
10: [('ң', 0.9974), ('п', 0.9944), ('қ', 0.9937), ('ц', 0.9935), ('ч', 0.9891), ('н', 0.9875), ('ж', 0.9863), ('о', 0.9861), ('й', 0.9859), ('ф', 0.9848), ('һ', 0.9838), ('э', 0.983), ('х', 0.9827), ('б', 0.9822), ('и', 0.9819), ('ш', 0.9811), ('с', 0.981), ('ы', 0.9809), ('з', 0.9809), ('р', 0.9808), ('щ', 0.9808), ('е', 0.9807), ('ә', 0.9806), ('м', 0.9806), ('ұ', 0.9803), ('д', 0.9791), ('л', 0.9791), ('ь', 0.9788), ('ё', 0.9778), ('ъ', 0.9773), ('ғ', 0.9764), ('ю', 0.9758), ('ө', 0.9747), ('ү', 0.973), ('а', 0.9716), ('к', 0.9695), ('г', 0.9689), ('у', 0.9688), ('т', 0.9687), ('і', 0.9598), ('в', 0.9547), ('я', 0.9469)]
11: [('г', 0.9984), ('ё', 0.9903), ('ү', 0.9896), ('у', 0.9885), ('ұ', 0.9869), ('ғ', 0.9866), ('д', 0.9863), ('л', 0.9863), ('б', 0.9859), ('с', 0.9857), ('р', 0.9853), ('з', 0.9852), ('э', 0.9834), ('һ', 0.9828), ('ф', 0.9812), ('т', 0.9804), ('й', 0.9797), ('і', 0.977), ('ц', 0.9749), ('қ', 0.9744), ('п', 0.9713), ('е', 0.9709), ('ә', 0.9708), ('ң', 0.9705), ('х', 0.9701), ('ч', 0.9656), ('о', 0.9638), ('ь', 0.9621), ('щ', 0.962), ('н', 0.9609), ('ш', 0.9609), ('ж', 0.9599), ('ы', 0.9591), ('а', 0.9585), ('ю', 0.9567), ('и', 0.9567), ('к', 0.9559), ('ъ', 0.9553), ('м', 0.9545), ('ө', 0.95), ('в', 0.9385), ('я', 0.9341)]
